     1.000,     0.833,     0.833,     0.833,     0.778,     0.944,     0.833,     0.778,     0.889,     0.944,     1.000,     0.833,     0.944,     0.833,     0.889,     0.889,     0.833,     0.944,     0.833,     0.833,     0.833,     0.833,     0.833,     0.944,     0.889,     0.722,     0.944,     0.833,     0.833,     1.000,     1.000,     0.722,     0.722,     0.889,     0.833,     1.000,     0.944,     0.944,     0.722,     1.000,     0.944,     0.944,     0.889,     0.944,     0.889,     0.889,     0.889,     1.000,     0.778,     0.833,     1.000,     0.944,     0.611,     1.000,     0.944,     0.778,     0.833,     1.000,     0.833,     0.722,     0.944,     0.833,     0.889,     1.000,     1.000,     0.833,     0.944,     0.833,     0.889,     0.889,     0.944,     0.722,     0.944,     0.833,     0.833,     0.833,     0.944,     0.889,     0.833,     0.833,     1.000,     0.944,     0.889,     0.944,     0.833,     1.000,     0.889,     0.889,     1.000,     0.944,     0.833,     0.833,     0.778,     0.944,     1.000,     0.889,     0.833,     0.889,     0.889,     0.833,     0.833,     0.944,     0.889,     0.889,     1.000,     1.000,     0.833,     0.889,     0.833,     0.833,     0.889,     0.833,     0.722,     0.722,     0.944,     0.833,     0.833,     0.611,     1.000,     1.000,     1.000,     0.889,     1.000,     0.833,     0.944,     0.889,     0.833,     0.778,     0.833,     0.944,     0.889,     1.000,     0.889,     0.833,     1.000,     0.833,     0.889,     0.944,     0.778,     0.833,     0.833,     0.944,     1.000,     1.000,     0.833,     1.000,     1.000,     1.000,     0.833,     1.000,     0.833,     0.611,     0.833,     0.833,     1.000,     0.944,     0.944,     0.944,     1.000,     0.944,     0.944,     0.889,     0.833,     1.000,     0.944,     0.833,     1.000,     0.889,     0.889,     1.000,     0.889,     0.833,     0.778,     0.833,     0.833,     1.000,     1.000,     0.833,     0.833,     0.833,     1.000,     0.944,     1.000,     1.000,     0.944,     0.833,     0.944,     0.722,     0.833,     0.944,     0.833,     0.889,     0.944,     0.722,     0.833,     0.833
     0.833,     1.000,     1.000,     1.000,     0.813,     0.778,     1.000,     0.813,     0.938,     0.882,     0.833,     1.000,     0.882,     1.000,     0.938,     0.938,     0.765,     0.778,     1.000,     1.000,     1.000,     1.000,     1.000,     0.882,     0.938,     0.867,     0.778,     1.000,     1.000,     0.833,     0.833,     0.867,     0.867,     0.938,     1.000,     0.833,     0.882,     0.882,     0.867,     0.833,     0.882,     0.778,     0.722,     0.778,     0.938,     0.938,     0.824,     0.833,     0.813,     1.000,     0.833,     0.882,     0.733,     0.833,     0.882,     0.813,     1.000,     0.833,     0.765,     0.867,     0.882,     1.000,     0.938,     0.833,     0.833,     0.667,     0.778,     1.000,     0.938,     0.722,     0.778,     0.867,     0.778,     1.000,     1.000,     1.000,     0.882,     0.938,     1.000,     1.000,     0.833,     0.882,     0.824,     0.882,     1.000,     0.833,     0.824,     0.722,     0.833,     0.882,     1.000,     0.765,     0.813,     0.882,     0.833,     0.938,     1.000,     0.938,     0.938,     1.000,     1.000,     0.882,     0.938,     0.938,     0.833,     0.833,     0.765,     0.938,     1.000,     1.000,     0.938,     1.000,     0.867,     0.867,     0.882,     1.000,     1.000,     0.733,     0.833,     0.833,     0.833,     0.938,     0.833,     0.765,     0.882,     0.938,     1.000,     0.813,     1.000,     0.778,     0.938,     0.833,     0.938,     1.000,     0.833,     1.000,     0.824,     0.778,     0.813,     1.000,     1.000,     0.882,     0.833,     0.833,     1.000,     0.833,     0.833,     0.833,     0.765,     0.833,     0.765,     0.733,     1.000,     1.000,     0.833,     0.882,     0.882,     0.882,     0.833,     0.778,     0.882,     0.722,     1.000,     0.833,     0.778,     1.000,     0.833,     0.938,     0.938,     0.833,     0.938,     0.765,     0.813,     1.000,     1.000,     0.833,     0.833,     0.765,     1.000,     0.765,     0.833,     0.882,     0.833,     0.833,     0.882,     1.000,     0.882,     0.867,     1.000,     0.882,     1.000,     0.938,     0.882,     0.867,     0.765,     1.000
     0.944,     0.882,     0.882,     0.882,     0.824,     0.889,     0.882,     0.824,     0.941,     1.000,     0.944,     0.882,     1.000,     0.882,     0.833,     0.833,     0.882,     0.889,     0.882,     0.882,     0.882,     0.882,     0.882,     1.000,     0.941,     0.765,     0.889,     0.882,     0.882,     0.944,     0.944,     0.765,     0.765,     0.941,     0.882,     0.944,     1.000,     1.000,     0.765,     0.944,     1.000,     0.889,     0.833,     0.889,     0.941,     0.941,     0.941,     0.944,     0.824,     0.882,     0.944,     1.000,     0.647,     0.944,     1.000,     0.824,     0.882,     0.944,     0.778,     0.765,     0.889,     0.882,     0.833,     0.944,     0.944,     0.778,     0.889,     0.882,     0.833,     0.833,     0.889,     0.765,     0.889,     0.882,     0.882,     0.882,     1.000,     0.833,     0.882,     0.882,     0.944,     1.000,     0.941,     0.889,     0.882,     0.944,     0.941,     0.833,     0.944,     1.000,     0.882,     0.882,     0.824,     0.889,     0.944,     0.941,     0.882,     0.833,     0.941,     0.882,     0.882,     1.000,     0.833,     0.833,     0.944,     0.944,     0.882,     0.941,     0.882,     0.882,     0.941,     0.882,     0.765,     0.765,     1.000,     0.882,     0.882,     0.647,     0.944,     0.944,     0.944,     0.833,     0.944,     0.882,     1.000,     0.941,     0.882,     0.824,     0.882,     0.889,     0.941,     0.944,     0.941,     0.882,     0.944,     0.882,     0.833,     0.889,     0.722,     0.882,     0.882,     1.000,     0.944,     0.944,     0.882,     0.944,     0.944,     0.944,     0.882,     0.944,     0.882,     0.647,     0.882,     0.882,     0.944,     0.889,     1.000,     0.889,     0.944,     0.889,     0.889,     0.833,     0.882,     0.944,     0.889,     0.882,     0.944,     0.833,     0.941,     0.944,     0.941,     0.882,     0.824,     0.882,     0.882,     0.944,     0.944,     0.882,     0.882,     0.882,     0.944,     1.000,     0.944,     0.944,     1.000,     0.882,     1.000,     0.765,     0.882,     1.000,     0.882,     0.941,     1.000,     0.765,     0.882,     0.882
     0.833,     1.000,     1.000,     1.000,     0.813,     0.778,     1.000,     0.813,     0.938,     0.882,     0.833,     1.000,     0.882,     1.000,     0.938,     0.938,     0.765,     0.778,     1.000,     1.000,     1.000,     1.000,     1.000,     0.882,     0.938,     0.867,     0.778,     1.000,     1.000,     0.833,     0.833,     0.867,     0.867,     0.938,     1.000,     0.833,     0.882,     0.882,     0.867,     0.833,     0.882,     0.778,     0.722,     0.778,     0.938,     0.938,     0.824,     0.833,     0.813,     1.000,     0.833,     0.882,     0.733,     0.833,     0.882,     0.813,     1.000,     0.833,     0.765,     0.867,     0.882,     1.000,     0.938,     0.833,     0.833,     0.667,     0.778,     1.000,     0.938,     0.722,     0.778,     0.867,     0.778,     1.000,     1.000,     1.000,     0.882,     0.938,     1.000,     1.000,     0.833,     0.882,     0.824,     0.882,     1.000,     0.833,     0.824,     0.722,     0.833,     0.882,     1.000,     0.765,     0.813,     0.882,     0.833,     0.938,     1.000,     0.938,     0.938,     1.000,     1.000,     0.882,     0.938,     0.938,     0.833,     0.833,     0.765,     0.938,     1.000,     1.000,     0.938,     1.000,     0.867,     0.867,     0.882,     1.000,     1.000,     0.733,     0.833,     0.833,     0.833,     0.938,     0.833,     0.765,     0.882,     0.938,     1.000,     0.813,     1.000,     0.778,     0.938,     0.833,     0.938,     1.000,     0.833,     1.000,     0.824,     0.778,     0.813,     1.000,     1.000,     0.882,     0.833,     0.833,     1.000,     0.833,     0.833,     0.833,     0.765,     0.833,     0.765,     0.733,     1.000,     1.000,     0.833,     0.882,     0.882,     0.882,     0.833,     0.778,     0.882,     0.722,     1.000,     0.833,     0.778,     1.000,     0.833,     0.938,     0.938,     0.833,     0.938,     0.765,     0.813,     1.000,     1.000,     0.833,     0.833,     0.765,     1.000,     0.765,     0.833,     0.882,     0.833,     0.833,     0.882,     1.000,     0.882,     0.867,     1.000,     0.882,     1.000,     0.938,     0.882,     0.867,     0.765,     1.000
     0.889,     0.938,     0.938,     0.938,     0.765,     0.833,     0.938,     0.765,     0.882,     0.833,     0.889,     0.938,     0.833,     0.938,     1.000,     1.000,     0.722,     0.833,     0.938,     0.938,     0.938,     0.938,     0.938,     0.833,     0.882,     0.813,     0.833,     0.938,     0.938,     0.889,     0.889,     0.813,     0.813,     0.882,     0.938,     0.889,     0.833,     0.833,     0.813,     0.889,     0.833,     0.833,     0.778,     0.833,     0.882,     0.882,     0.778,     0.889,     0.765,     0.938,     0.889,     0.833,     0.688,     0.889,     0.833,     0.765,     0.938,     0.889,     0.824,     0.813,     0.941,     0.938,     1.000,     0.889,     0.889,     0.722,     0.833,     0.938,     1.000,     0.778,     0.833,     0.813,     0.833,     0.938,     0.938,     0.938,     0.833,     1.000,     0.938,     0.938,     0.889,     0.833,     0.778,     0.941,     0.938,     0.889,     0.778,     0.778,     0.889,     0.833,     0.938,     0.722,     0.765,     0.941,     0.889,     0.882,     0.938,     1.000,     0.882,     0.938,     0.938,     0.833,     1.000,     1.000,     0.889,     0.889,     0.722,     0.882,     0.938,     0.938,     0.882,     0.938,     0.813,     0.813,     0.833,     0.938,     0.938,     0.688,     0.889,     0.889,     0.889,     1.000,     0.889,     0.722,     0.833,     0.882,     0.938,     0.765,     0.938,     0.833,     0.882,     0.889,     0.882,     0.938,     0.889,     0.938,     0.882,     0.833,     0.875,     0.938,     0.938,     0.833,     0.889,     0.889,     0.938,     0.889,     0.889,     0.889,     0.722,     0.889,     0.722,     0.688,     0.938,     0.938,     0.889,     0.941,     0.833,     0.941,     0.889,     0.833,     0.941,     0.778,     0.938,     0.889,     0.833,     0.938,     0.889,     1.000,     0.882,     0.889,     0.882,     0.722,     0.765,     0.938,     0.938,     0.889,     0.889,     0.722,     0.938,     0.722,     0.889,     0.833,     0.889,     0.889,     0.833,     0.938,     0.833,     0.813,     0.938,     0.833,     0.938,     0.882,     0.833,     0.813,     0.722,     0.938
     0.889,     0.938,     0.938,     0.938,     0.765,     0.833,     0.938,     0.765,     0.882,     0.833,     0.889,     0.938,     0.833,     0.938,     1.000,     1.000,     0.722,     0.833,     0.938,     0.938,     0.938,     0.938,     0.938,     0.833,     0.882,     0.813,     0.833,     0.938,     0.938,     0.889,     0.889,     0.813,     0.813,     0.882,     0.938,     0.889,     0.833,     0.833,     0.813,     0.889,     0.833,     0.833,     0.778,     0.833,     0.882,     0.882,     0.778,     0.889,     0.765,     0.938,     0.889,     0.833,     0.688,     0.889,     0.833,     0.765,     0.938,     0.889,     0.824,     0.813,     0.941,     0.938,     1.000,     0.889,     0.889,     0.722,     0.833,     0.938,     1.000,     0.778,     0.833,     0.813,     0.833,     0.938,     0.938,     0.938,     0.833,     1.000,     0.938,     0.938,     0.889,     0.833,     0.778,     0.941,     0.938,     0.889,     0.778,     0.778,     0.889,     0.833,     0.938,     0.722,     0.765,     0.941,     0.889,     0.882,     0.938,     1.000,     0.882,     0.938,     0.938,     0.833,     1.000,     1.000,     0.889,     0.889,     0.722,     0.882,     0.938,     0.938,     0.882,     0.938,     0.813,     0.813,     0.833,     0.938,     0.938,     0.688,     0.889,     0.889,     0.889,     1.000,     0.889,     0.722,     0.833,     0.882,     0.938,     0.765,     0.938,     0.833,     0.882,     0.889,     0.882,     0.938,     0.889,     0.938,     0.882,     0.833,     0.875,     0.938,     0.938,     0.833,     0.889,     0.889,     0.938,     0.889,     0.889,     0.889,     0.722,     0.889,     0.722,     0.688,     0.938,     0.938,     0.889,     0.941,     0.833,     0.941,     0.889,     0.833,     0.941,     0.778,     0.938,     0.889,     0.833,     0.938,     0.889,     1.000,     0.882,     0.889,     0.882,     0.722,     0.765,     0.938,     0.938,     0.889,     0.889,     0.722,     0.938,     0.722,     0.889,     0.833,     0.889,     0.889,     0.833,     0.938,     0.833,     0.813,     0.938,     0.833,     0.938,     0.882,     0.833,     0.813,     0.722,     0.938
     0.833,     0.765,     0.765,     0.765,     0.933,     0.778,     0.765,     0.933,     0.824,     0.882,     0.833,     0.765,     0.882,     0.765,     0.722,     0.722,     1.000,     0.778,     0.765,     0.765,     0.765,     0.765,     0.765,     0.882,     0.824,     0.867,     0.778,     0.765,     0.765,     0.833,     0.833,     0.867,     0.647,     0.824,     0.765,     0.833,     0.882,     0.882,     0.867,     0.833,     0.882,     0.778,     0.938,     0.778,     0.824,     0.824,     0.824,     0.833,     0.933,     0.765,     0.833,     0.882,     0.733,     0.833,     0.882,     0.933,     0.765,     0.833,     0.875,     0.867,     0.778,     0.765,     0.722,     0.833,     0.833,     0.875,     0.778,     0.765,     0.722,     0.938,     0.778,     0.867,     0.778,     0.765,     0.765,     0.765,     0.882,     0.722,     0.765,     0.765,     0.833,     0.882,     0.824,     0.778,     0.765,     0.833,     0.824,     0.938,     0.833,     0.882,     0.765,     1.000,     0.933,     0.778,     0.833,     0.824,     0.765,     0.722,     0.824,     0.765,     0.765,     0.882,     0.722,     0.722,     0.833,     0.833,     1.000,     0.824,     0.765,     0.765,     0.824,     0.765,     0.647,     0.867,     0.882,     0.765,     0.765,     0.733,     0.833,     0.833,     0.833,     0.722,     0.833,     1.000,     0.882,     0.824,     0.765,     0.933,     0.765,     0.778,     0.824,     0.833,     0.824,     0.765,     0.833,     0.765,     0.722,     0.778,     0.611,     0.765,     0.765,     0.882,     0.833,     0.833,     0.765,     0.833,     0.833,     0.833,     1.000,     0.833,     1.000,     0.529,     0.765,     0.765,     0.833,     0.778,     0.882,     0.778,     0.833,     0.778,     0.778,     0.938,     0.765,     0.833,     0.778,     0.765,     0.833,     0.722,     0.824,     0.833,     0.824,     1.000,     0.933,     0.765,     0.765,     0.833,     0.833,     1.000,     0.765,     1.000,     0.833,     0.882,     0.833,     0.833,     0.882,     0.765,     0.882,     0.647,     0.765,     0.882,     0.765,     0.824,     0.882,     0.867,     1.000,     0.765
     0.944,     0.778,     0.778,     0.778,     0.722,     1.000,     0.778,     0.722,     0.833,     0.889,     0.944,     0.778,     0.889,     0.778,     0.833,     0.833,     0.778,     1.000,     0.778,     0.778,     0.778,     0.778,     0.778,     0.889,     0.833,     0.667,     1.000,     0.778,     0.778,     0.944,     0.944,     0.667,     0.765,     0.833,     0.778,     0.944,     0.889,     0.889,     0.667,     0.944,     0.889,     1.000,     0.833,     1.000,     0.833,     0.833,     0.941,     0.944,     0.722,     0.778,     0.944,     0.889,     0.647,     0.944,     0.889,     0.722,     0.778,     0.944,     0.778,     0.667,     0.889,     0.778,     0.833,     0.944,     0.944,     0.882,     1.000,     0.778,     0.833,     0.833,     1.000,     0.667,     1.000,     0.778,     0.778,     0.778,     0.889,     0.833,     0.778,     0.778,     0.944,     0.889,     0.941,     0.889,     0.778,     0.944,     0.941,     0.833,     0.944,     0.889,     0.778,     0.778,     0.722,     0.889,     0.944,     0.833,     0.778,     0.833,     0.833,     0.778,     0.778,     0.889,     0.833,     0.833,     0.944,     0.944,     0.778,     0.833,     0.778,     0.778,     0.833,     0.778,     0.765,     0.667,     0.889,     0.778,     0.778,     0.556,     0.944,     0.944,     0.944,     0.833,     0.944,     0.778,     0.889,     0.833,     0.778,     0.722,     0.778,     1.000,     0.833,     0.944,     0.833,     0.778,     0.944,     0.778,     0.941,     1.000,     0.824,     0.778,     0.778,     0.889,     0.944,     0.944,     0.778,     0.944,     0.944,     0.944,     0.778,     0.944,     0.778,     0.647,     0.778,     0.778,     0.944,     0.889,     0.889,     0.889,     0.944,     1.000,     0.889,     0.833,     0.778,     0.944,     1.000,     0.778,     0.944,     0.833,     0.833,     0.944,     0.833,     0.778,     0.722,     0.778,     0.778,     0.944,     0.944,     0.778,     0.778,     0.778,     0.944,     0.889,     0.944,     0.944,     0.889,     0.778,     0.889,     0.765,     0.778,     0.889,     0.778,     0.833,     0.889,     0.667,     0.778,     0.778
     0.833,     1.000,     1.000,     1.000,     0.813,     0.778,     1.000,     0.813,     0.938,     0.882,     0.833,     1.000,     0.882,     1.000,     0.938,     0.938,     0.765,     0.778,     1.000,     1.000,     1.000,     1.000,     1.000,     0.882,     0.938,     0.867,     0.778,     1.000,     1.000,     0.833,     0.833,     0.867,     0.867,     0.938,     1.000,     0.833,     0.882,     0.882,     0.867,     0.833,     0.882,     0.778,     0.722,     0.778,     0.938,     0.938,     0.824,     0.833,     0.813,     1.000,     0.833,     0.882,     0.733,     0.833,     0.882,     0.813,     1.000,     0.833,     0.765,     0.867,     0.882,     1.000,     0.938,     0.833,     0.833,     0.667,     0.778,     1.000,     0.938,     0.722,     0.778,     0.867,     0.778,     1.000,     1.000,     1.000,     0.882,     0.938,     1.000,     1.000,     0.833,     0.882,     0.824,     0.882,     1.000,     0.833,     0.824,     0.722,     0.833,     0.882,     1.000,     0.765,     0.813,     0.882,     0.833,     0.938,     1.000,     0.938,     0.938,     1.000,     1.000,     0.882,     0.938,     0.938,     0.833,     0.833,     0.765,     0.938,     1.000,     1.000,     0.938,     1.000,     0.867,     0.867,     0.882,     1.000,     1.000,     0.733,     0.833,     0.833,     0.833,     0.938,     0.833,     0.765,     0.882,     0.938,     1.000,     0.813,     1.000,     0.778,     0.938,     0.833,     0.938,     1.000,     0.833,     1.000,     0.824,     0.778,     0.813,     1.000,     1.000,     0.882,     0.833,     0.833,     1.000,     0.833,     0.833,     0.833,     0.765,     0.833,     0.765,     0.733,     1.000,     1.000,     0.833,     0.882,     0.882,     0.882,     0.833,     0.778,     0.882,     0.722,     1.000,     0.833,     0.778,     1.000,     0.833,     0.938,     0.938,     0.833,     0.938,     0.765,     0.813,     1.000,     1.000,     0.833,     0.833,     0.765,     1.000,     0.765,     0.833,     0.882,     0.833,     0.833,     0.882,     1.000,     0.882,     0.867,     1.000,     0.882,     1.000,     0.938,     0.882,     0.867,     0.765,     1.000
     0.833,     1.000,     1.000,     1.000,     0.813,     0.778,     1.000,     0.813,     0.938,     0.882,     0.833,     1.000,     0.882,     1.000,     0.938,     0.938,     0.765,     0.778,     1.000,     1.000,     1.000,     1.000,     1.000,     0.882,     0.938,     0.867,     0.778,     1.000,     1.000,     0.833,     0.833,     0.867,     0.867,     0.938,     1.000,     0.833,     0.882,     0.882,     0.867,     0.833,     0.882,     0.778,     0.722,     0.778,     0.938,     0.938,     0.824,     0.833,     0.813,     1.000,     0.833,     0.882,     0.733,     0.833,     0.882,     0.813,     1.000,     0.833,     0.765,     0.867,     0.882,     1.000,     0.938,     0.833,     0.833,     0.667,     0.778,     1.000,     0.938,     0.722,     0.778,     0.867,     0.778,     1.000,     1.000,     1.000,     0.882,     0.938,     1.000,     1.000,     0.833,     0.882,     0.824,     0.882,     1.000,     0.833,     0.824,     0.722,     0.833,     0.882,     1.000,     0.765,     0.813,     0.882,     0.833,     0.938,     1.000,     0.938,     0.938,     1.000,     1.000,     0.882,     0.938,     0.938,     0.833,     0.833,     0.765,     0.938,     1.000,     1.000,     0.938,     1.000,     0.867,     0.867,     0.882,     1.000,     1.000,     0.733,     0.833,     0.833,     0.833,     0.938,     0.833,     0.765,     0.882,     0.938,     1.000,     0.813,     1.000,     0.778,     0.938,     0.833,     0.938,     1.000,     0.833,     1.000,     0.824,     0.778,     0.813,     1.000,     1.000,     0.882,     0.833,     0.833,     1.000,     0.833,     0.833,     0.833,     0.765,     0.833,     0.765,     0.733,     1.000,     1.000,     0.833,     0.882,     0.882,     0.882,     0.833,     0.778,     0.882,     0.722,     1.000,     0.833,     0.778,     1.000,     0.833,     0.938,     0.938,     0.833,     0.938,     0.765,     0.813,     1.000,     1.000,     0.833,     0.833,     0.765,     1.000,     0.765,     0.833,     0.882,     0.833,     0.833,     0.882,     1.000,     0.882,     0.867,     1.000,     0.882,     1.000,     0.938,     0.882,     0.867,     0.765,     1.000
     0.833,     1.000,     1.000,     1.000,     0.813,     0.778,     1.000,     0.813,     0.938,     0.882,     0.833,     1.000,     0.882,     1.000,     0.938,     0.938,     0.765,     0.778,     1.000,     1.000,     1.000,     1.000,     1.000,     0.882,     0.938,     0.867,     0.778,     1.000,     1.000,     0.833,     0.833,     0.867,     0.867,     0.938,     1.000,     0.833,     0.882,     0.882,     0.867,     0.833,     0.882,     0.778,     0.722,     0.778,     0.938,     0.938,     0.824,     0.833,     0.813,     1.000,     0.833,     0.882,     0.733,     0.833,     0.882,     0.813,     1.000,     0.833,     0.765,     0.867,     0.882,     1.000,     0.938,     0.833,     0.833,     0.667,     0.778,     1.000,     0.938,     0.722,     0.778,     0.867,     0.778,     1.000,     1.000,     1.000,     0.882,     0.938,     1.000,     1.000,     0.833,     0.882,     0.824,     0.882,     1.000,     0.833,     0.824,     0.722,     0.833,     0.882,     1.000,     0.765,     0.813,     0.882,     0.833,     0.938,     1.000,     0.938,     0.938,     1.000,     1.000,     0.882,     0.938,     0.938,     0.833,     0.833,     0.765,     0.938,     1.000,     1.000,     0.938,     1.000,     0.867,     0.867,     0.882,     1.000,     1.000,     0.733,     0.833,     0.833,     0.833,     0.938,     0.833,     0.765,     0.882,     0.938,     1.000,     0.813,     1.000,     0.778,     0.938,     0.833,     0.938,     1.000,     0.833,     1.000,     0.824,     0.778,     0.813,     1.000,     1.000,     0.882,     0.833,     0.833,     1.000,     0.833,     0.833,     0.833,     0.765,     0.833,     0.765,     0.733,     1.000,     1.000,     0.833,     0.882,     0.882,     0.882,     0.833,     0.778,     0.882,     0.722,     1.000,     0.833,     0.778,     1.000,     0.833,     0.938,     0.938,     0.833,     0.938,     0.765,     0.813,     1.000,     1.000,     0.833,     0.833,     0.765,     1.000,     0.765,     0.833,     0.882,     0.833,     0.833,     0.882,     1.000,     0.882,     0.867,     1.000,     0.882,     1.000,     0.938,     0.882,     0.867,     0.765,     1.000
